,totPurchaseAmt,mediumImageLink,imgFilepath
0,152000.0,https://photos.zillowstatic.com/p_c/IS1fwt0hhfoo421000000000.jpg,../images/img_0.jpg
1,198000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
2,130000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
3,415000.0,https://photos.zillowstatic.com/p_c/IS72penojiqisr0000000000.jpg,../images/img_3.jpg
4,329900.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
5,262000.0,https://photos.zillowstatic.com/p_c/ISv0c2glts5pcq1000000000.jpg,../images/img_5.jpg
6,280000.0,https://photos.zillowstatic.com/p_c/ISnyo4qr43ci7z0000000000.jpg,../images/img_6.jpg
7,237000.0,https://photos.zillowstatic.com/p_c/ISzyrqwit742w3.jpg,../images/img_7.jpg
8,450000.0,https://photos.zillowstatic.com/p_c/ISy7sakvq9e4ri1000000000.jpg,../images/img_8.jpg
9,457193.99,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
10,143700.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
11,163900.0,https://photos.zillowstatic.com/p_c/ISbds7u9xhyjys0000000000.jpg,../images/img_11.jpg
12,775000.0,https://photos.zillowstatic.com/p_c/ISu0wl4l3t4lod1000000000.jpg,../images/img_12.jpg
13,359000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
14,485000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
15,340000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
16,195000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
17,304200.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
18,236500.0,https://photos.zillowstatic.com/p_c/ISrtnvnrnrd7ze1000000000.jpg,../images/img_18.jpg
19,265000.0,https://photos.zillowstatic.com/p_c/ISa9ddpc94h78y0000000000.jpg,../images/img_19.jpg
20,362000.0,https://photos.zillowstatic.com/p_c/IS6ei1iqzhnff00000000000.jpg,../images/img_20.jpg
21,340000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
22,283000.0,https://photos.zillowstatic.com/p_c/ISz3x3njhmw9h91000000000.jpg,../images/img_22.jpg
23,355660.0,https://photos.zillowstatic.com/p_c/ISvkz9pyqtpmbi1000000000.jpg,../images/img_23.jpg
24,125000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
25,379900.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
26,280000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
27,292000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
28,268500.0,https://photos.zillowstatic.com/p_c/ISjvz78hybrufd1000000000.jpg,../images/img_28.jpg
29,267900.0,https://photos.zillowstatic.com/p_c/ISqdjlgm02ogcm0000000000.jpg,../images/img_29.jpg
30,225000.06,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
31,219900.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
32,220000.0,https://photos.zillowstatic.com/p_c/ISvw8xy46yrxyf0000000000.jpg,../images/img_32.jpg
33,260000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
34,313000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
35,403000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
36,265000.0,https://photos.zillowstatic.com/p_c/ISahvgiufuq27r0000000000.jpg,../images/img_36.jpg
37,340000.0,https://photos.zillowstatic.com/p_c/ISz3915tmk2uoh0000000000.jpg,../images/img_37.jpg
38,260000.0,https://photos.zillowstatic.com/p_c/IS5twmobk4ffz7.jpg,../images/img_38.jpg
39,204000.0,https://photos.zillowstatic.com/p_c/ISaplyjy69ozjh0000000000.jpg,../images/img_39.jpg
40,297000.0,https://photos.zillowstatic.com/p_c/ISzbjy7cxjgbos0000000000.jpg,../images/img_40.jpg
41,224900.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
42,170000.0,https://photos.zillowstatic.com/p_c/ISyrfeytwt208h1000000000.jpg,../images/img_42.jpg
43,160000.0,https://photos.zillowstatic.com/p_c/ISekwy48kx0kdf0000000000.jpg,../images/img_43.jpg
44,298100.0,https://photos.zillowstatic.com/p_c/ISqp42983mwd4c1000000000.jpg,../images/img_44.jpg
45,420000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
46,349000.0,https://www.zillowstatic.com/static/images/nophoto_p_c.png,no photo
