,totPurchaseAmt,street1,zip,property
1045,415000.0,15581 Andrie Street,55303,15581 Andrie Street 55303
1046,135000.0,18801 Breezy Point Drive NE,55092,18801 Breezy Point Drive NE 55092
1047,243900.0,2242 129th Avenue NW,55448,2242 129th Avenue NW 55448
1048,100000.0,10370 Grouse Street NW,55433,10370 Grouse Street NW 55433
1049,110000.0,8401 E River Road,55433,8401 E River Road 55433
1051,222000.0,,55304,
1052,270000.0,2005 Naples Court NE,55011,2005 Naples Court NE 55011
1053,170000.0,16044 Swallow Street NW,55304,16044 Swallow Street NW 55304
1054,207500.0,12161 Quinn St NW,55448,12161 Quinn St NW 55448
1055,131000.0,12233 Taylor Street NE,55434,12233 Taylor Street NE 55434
1056,187000.0,1041 Fremont St,55303,1041 Fremont St 55303
1057,183000.0,4833 7th St NE,55421,4833 7th St NE 55421
1059,368500.0,2968 129th Avenue NE,55449,2968 129th Avenue NE 55449
1060,209900.0,17330 Saint Francis Blvd,55303,17330 Saint Francis Blvd 55303
1061,154000.0,10521 Avocet St NW,55433,10521 Avocet St NW 55433
1062,69000.0,14056 Raven Street NW,55304,14056 Raven Street NW 55304
1064,195000.0,9829 Cord Street NE,55014,9829 Cord Street NE 55014
1065,200100.0,8815 Tyler Street NE,55434,8815 Tyler Street NE 55434
1066,269000.0,19280 Orchid St. NW,55303,19280 Orchid St. NW 55303
1067,181445.0,13 Territorial Rd NE,55434,13 Territorial Rd NE 55434
1068,157000.0,,55014,
1069,109900.0,65 125th Lane Northwest,55014,65 125th Lane Northwest 55014
1070,171000.0,13624 Partridge Circle NW,55304,13624 Partridge Circle NW 55304
1071,340000.0,21301 Viking Blvd NE,55092,21301 Viking Blvd NE 55092
1072,89950.0,9775 Olive Street NW,55433,9775 Olive Street NW 55433
1073,260900.0,23964 Cobalt St NW,55070,23964 Cobalt St NW 55070
1075,185000.0,3858 Keyes Street,55421,3858 Keyes Street 55421
1076,147000.0,1061 122nd Ave,55434,1061 122nd Ave 55434
1077,151500.0,,55346,
1078,300000.0,7523 165th Avenue NE,55025,7523 165th Avenue NE 55025
1079,202000.0,12438 Flanders Ct NE #G,55449,12438 Flanders Ct NE #G 55449
1080,109184.54,10821 Avocet Street NW,55433,10821 Avocet Street NW 55433
1081,140000.0,,55421,
1082,318500.0,13960 Marcissus St. NW,55304,13960 Marcissus St. NW 55304
1083,213200.0,6291 Riverview Terrace NE,55432,6291 Riverview Terrace NE 55432
1084,136500.0,,21701,
1086,224900.0,1664 125th Lane NW,55448,1664 125th Lane NW 55448
1087,112500.0,10049 Ibis St. NW,55433,10049 Ibis St. NW 55433
1088,239900.0,22876 Quay St. NW,55070,22876 Quay St. NW 55070
1089,379900.0,8585 171st Avenue,55303,8585 171st Avenue 55303
